Gene stable ID,Gene name,Gene type
ENSG00000266515,MIR4452,miRNA
ENSG00000252642,RNA5SP137,rRNA_pseudogene
ENSG00000252206,RNU7-40P,snRNA
ENSG00000273882,MIR8066,miRNA
ENSG00000201933,AC005537.1,misc_RNA
ENSG00000284447,MIR9-2,miRNA
ENSG00000283278,MIR3914-2,miRNA
ENSG00000263360,RN7SL134P,misc_RNA
ENSG00000257215,CR847794.2,protein_coding
ENSG00000284547,MIR2861,miRNA
ENSG00000265848,MIR3689D1,miRNA
ENSG00000199938,AL079341.1,misc_RNA
ENSG00000222923,RNU2-41P,snRNA
ENSG00000207466,AL714019.1,misc_RNA
ENSG00000204805,AL391987.2,protein_coding
ENSG00000252973,RNU6-1028P,snRNA
ENSG00000278036,AC231273.1,snRNA
ENSG00000222501,RNU4-25P,snRNA
ENSG00000282035,AC090958.4,protein_coding
ENSG00000200237,AC008752.1,snoRNA
ENSG00000199366,AC010853.1,misc_RNA
ENSG00000263811,MIR3675,miRNA
ENSG00000263358,SNORD117,snoRNA
ENSG00000241693,RN7SL704P,misc_RNA
ENSG00000283933,MIR6878,miRNA
ENSG00000202382,AC062037.1,misc_RNA
ENSG00000198975,MIRLET7A2,miRNA
ENSG00000275154,AL121839.4,snoRNA
ENSG00000283759,MIR614,miRNA
ENSG00000276096,AC020663.4,misc_RNA
ENSG00000207488,AC002064.1,misc_RNA
ENSG00000284011,MIR6502,miRNA
ENSG00000263937,AL662859.1,snRNA
ENSG00000277919,MIR8067,miRNA
ENSG00000252412,Z73420.1,misc_RNA
ENSG00000283666,AC093608.1,snRNA
ENSG00000199156,MIR422A,miRNA
ENSG00000207119,AC027237.1,snoRNA
ENSG00000265503,MIR1269B,miRNA
ENSG00000222520,RNA5SP451,rRNA_pseudogene
ENSG00000273896,TSEN34,protein_coding
ENSG00000263583,MIR4522,miRNA
ENSG00000281022,MED22,protein_coding
ENSG00000207292,BX276089.1,misc_RNA
ENSG00000263800,MIR5684,miRNA
ENSG00000222869,RNU6-565P,snRNA
ENSG00000274420,AC026318.1,misc_RNA
ENSG00000264279,MIR4786,miRNA
ENSG00000200830,RN7SKP134,misc_RNA
ENSG00000283320,MIR103B2,miRNA
ENSG00000212414,SNORD77B,snoRNA
ENSG00000207554,MIR647,miRNA
ENSG00000252213,SNORA74D,snoRNA
ENSG00000252868,AC061965.1,snoRNA
ENSG00000266243,MIR4279,miRNA
ENSG00000200314,AL109920.1,misc_RNA
ENSG00000274053,NCR1,protein_coding
ENSG00000264760,MIR3141,miRNA
ENSG00000223037,RNU6-284P,snRNA
ENSG00000238503,AC013471.1,snoRNA
ENSG00000284446,MIR1236,miRNA
ENSG00000283795,MIR4426,miRNA
ENSG00000199764,AC002461.1,misc_RNA
ENSG00000275373,MIR6124,miRNA
ENSG00000207632,MIR588,miRNA
ENSG00000266192,MIR1260B,miRNA
ENSG00000239175,RNU6-1218P,snRNA
ENSG00000264069,MIR3943,miRNA
ENSG00000263885,MIR3920,miRNA
ENSG00000199043,MIR335,miRNA
ENSG00000265861,MIR4495,miRNA
ENSG00000263776,SNORA4,snoRNA
ENSG00000223212,RNU4-74P,snRNA
ENSG00000276319,MIR8079,miRNA
ENSG00000284200,MIR6847,miRNA
ENSG00000274721,AC091825.1,misc_RNA
ENSG00000283856,MIR7703,miRNA
ENSG00000276029,MIR4477A,miRNA
ENSG00000251982,RN7SKP43,misc_RNA
ENSG00000266449,MIR3713,miRNA
ENSG00000207617,MIR3074,miRNA
ENSG00000273913,AC025750.4,misc_RNA
ENSG00000274805,MIR6768,miRNA
ENSG00000277794,AL355132.1,misc_RNA
ENSG00000277889,MIR8081,miRNA
ENSG00000257381,MIR3179-2,miRNA
ENSG00000239190,RNU6-717P,snRNA
ENSG00000207693,MIR602,miRNA
ENSG00000207808,MIR27A,miRNA
ENSG00000278554,AC119038.1,misc_RNA
ENSG00000207439,AC008847.1,misc_RNA
ENSG00000207785,MIR500A,miRNA
ENSG00000265418,MIR4261,miRNA
ENSG00000222532,MIR1468,miRNA
ENSG00000252224,RNU4ATAC15P,snRNA
ENSG00000207099,RNU6-166P,snRNA
ENSG00000264764,MIR4772,miRNA
ENSG00000207866,MIR514A2,miRNA
ENSG00000252942,RNA5SP290,rRNA_pseudogene
ENSG00000283639,MIR9500,miRNA
ENSG00000207083,RNU6-22P,snRNA
ENSG00000199836,RNU1-47P,snRNA
ENSG00000265841,MIR548X,miRNA
ENSG00000201003,AL049745.1,snoRNA
ENSG00000265180,MIR4790,miRNA
ENSG00000252540,RNU6-919P,snRNA
ENSG00000200150,AL132709.1,snoRNA
ENSG00000275789,MIR8064,miRNA
ENSG00000222714,RN7SKP38,misc_RNA
ENSG00000265829,MIR548AG1,miRNA
ENSG00000207087,RNU6-242P,snRNA
ENSG00000239679,RN7SL193P,misc_RNA
ENSG00000207169,RNU6-24P,snRNA
ENSG00000199169,MIR367,miRNA
ENSG00000244632,RN7SL863P,misc_RNA
ENSG00000252956,RNA5SP40,rRNA_pseudogene
ENSG00000264105,MIR3688-1,miRNA
ENSG00000222209,RNA5SP56,rRNA_pseudogene
ENSG00000278571,MIR7161,miRNA
ENSG00000203411,AC113208.1,misc_RNA
ENSG00000206927,AC126755.2,misc_RNA
ENSG00000201372,RNU6-1251P,snRNA
ENSG00000207628,MIR651,miRNA
ENSG00000207242,RNU6-1065P,snRNA
ENSG00000221494,MIR548I4,miRNA
ENSG00000199797,AL023281.1,misc_RNA
ENSG00000200250,RNU6-1147P,snRNA
ENSG00000222715,MIR1911,miRNA
ENSG00000212205,AC096637.1,misc_RNA
ENSG00000252317,AL513342.1,misc_RNA
ENSG00000206640,AL356273.2,misc_RNA
ENSG00000200556,RNU6-103P,snRNA
ENSG00000252139,AC090227.1,scaRNA
ENSG00000241392,RN7SL205P,misc_RNA
ENSG00000207495,RNY3P10,misc_RNA
ENSG00000200191,AC104012.1,snoRNA
ENSG00000200040,AL392166.1,misc_RNA
ENSG00000238680,RNU6-1037P,snRNA
ENSG00000240927,RN7SL209P,misc_RNA
ENSG00000253086,RNU6-537P,snRNA
ENSG00000252260,RNA5SP461,rRNA_pseudogene
ENSG00000206765,RNU6-203P,snRNA
ENSG00000201666,AC121343.1,snoRNA
ENSG00000200646,AC006116.1,misc_RNA
ENSG00000200211,RNY4P27,misc_RNA
ENSG00000199884,AC079347.1,misc_RNA
ENSG00000252343,RNU2-34P,snRNA
ENSG00000274062,AC024051.2,snRNA
ENSG00000206822,AL136038.3,misc_RNA
ENSG00000276193,AC090821.4,misc_RNA
ENSG00000275071,AL139038.1,misc_RNA
ENSG00000223118,RN7SKP102,misc_RNA
ENSG00000238387,AC122179.1,snoRNA
ENSG00000273506,NCR1,protein_coding
ENSG00000252424,RNA5SP384,rRNA_pseudogene
ENSG00000222467,AC079449.1,misc_RNA
ENSG00000238523,RNU7-107P,snRNA
ENSG00000252821,RNU6-388P,snRNA
ENSG00000212368,RNU6-1000P,snRNA
ENSG00000277628,AC133109.1,misc_RNA
ENSG00000274230,AC007351.3,misc_RNA
ENSG00000238880,RNU7-59P,snRNA
ENSG00000206799,SNORA32,snoRNA
ENSG00000206807,RNU6-815P,snRNA
ENSG00000251804,RNU6-1294P,snRNA
ENSG00000276594,CR759763.2,misc_RNA
ENSG00000202434,AC010746.1,snoRNA
ENSG00000212289,RNA5SP339,rRNA_pseudogene
ENSG00000222357,RNU2-20P,snRNA
ENSG00000222399,RNU6-791P,snRNA
ENSG00000206605,RNU6-946P,snRNA
ENSG00000265707,SNORD52,snoRNA
ENSG00000207045,RNU6-532P,snRNA
ENSG00000206688,SNORD116-18,snoRNA
ENSG00000242855,RN7SL496P,misc_RNA
ENSG00000253081,RNU4ATAC17P,snRNA
ENSG00000264352,RN7SL602P,misc_RNA
ENSG00000276031,RN7SL197P,misc_RNA
ENSG00000222529,AP004609.2,misc_RNA
ENSG00000252461,AC133550.1,snoRNA
ENSG00000222146,RNU4-37P,snRNA
ENSG00000200291,AC006963.1,misc_RNA
ENSG00000275900,AC012588.2,snoRNA
ENSG00000252872,RNU7-188P,snRNA
ENSG00000222854,RNA5SP59,rRNA_pseudogene
ENSG00000199426,RNU1-108P,snRNA
ENSG00000207385,RNU6-310P,snRNA
ENSG00000277563,AC063961.1,misc_RNA
ENSG00000253089,RNU1-104P,snRNA
ENSG00000276568,AC025278.3,misc_RNA
ENSG00000240823,RN7SL23P,misc_RNA
ENSG00000212195,AC011195.1,snoRNA
ENSG00000207067,SNORA72,snoRNA
ENSG00000206880,RNU6-1310P,snRNA
ENSG00000276183,FO681491.2,snRNA
ENSG00000207274,SNORA70I,snoRNA
ENSG00000266523,CR788240.1,misc_RNA
ENSG00000276696,AC090518.2,misc_RNA
ENSG00000201302,SNORA65,snoRNA
ENSG00000221500,SNORD100,snoRNA
ENSG00000223174,RN7SKP17,misc_RNA
ENSG00000251852,AC005064.2,misc_RNA
ENSG00000206805,AC036222.2,misc_RNA
ENSG00000271923,RNU6-86P,snRNA
ENSG00000206854,RNY3P5,misc_RNA
ENSG00000274059,RNA5SP534,rRNA
ENSG00000201707,RNU6-818P,snRNA
ENSG00000238966,AC090571.1,snoRNA
ENSG00000264767,RN7SL237P,misc_RNA
ENSG00000277667,AC012314.14,protein_coding
ENSG00000212365,RNA5SP332,rRNA_pseudogene
ENSG00000238427,RNU7-136P,snRNA
ENSG00000275090,RN7SL296P,misc_RNA
ENSG00000200049,AC097658.1,misc_RNA
ENSG00000212293,AL137247.1,snoRNA
ENSG00000200262,AL162430.1,misc_RNA
ENSG00000207237,RNU6-110P,snRNA
ENSG00000206914,AC027290.1,misc_RNA
ENSG00000273725,AC055845.1,misc_RNA
ENSG00000252780,RNA5SP471,rRNA_pseudogene
ENSG00000222649,AL137009.1,misc_RNA
ENSG00000212604,AC044913.1,snoRNA
ENSG00000264415,AL805917.1,misc_RNA
ENSG00000251967,AC104304.1,snoRNA
ENSG00000206796,RNU6-811P,snRNA
ENSG00000280864,AC255560.1,lncRNA
ENSG00000207332,RNU6-146P,snRNA
ENSG00000238658,RNU6-625P,snRNA
ENSG00000201566,AC078843.2,misc_RNA
ENSG00000199322,RNA5SP183,rRNA_pseudogene
ENSG00000206951,AL133244.1,misc_RNA
ENSG00000199349,AL591846.1,misc_RNA
ENSG00000212385,RNU6-817P,snRNA
ENSG00000206685,RNU6-1189P,snRNA
ENSG00000253055,RNA5SP415,rRNA_pseudogene
ENSG00000242699,RN7SL516P,misc_RNA
ENSG00000200807,RNU1-32P,snRNA
ENSG00000240481,RN7SL38P,misc_RNA
ENSG00000201432,AC006960.1,misc_RNA
ENSG00000273636,AC120778.1,snRNA
ENSG00000231587,SNORD62B,snoRNA
ENSG00000263669,RN7SL470P,misc_RNA
ENSG00000263793,MIR3115,miRNA
ENSG00000223203,RNA5SP221,rRNA_pseudogene
ENSG00000276596,AC024051.8,snRNA
ENSG00000242170,RN7SL329P,misc_RNA
ENSG00000276653,RN7SL856P,misc_RNA
ENSG00000274975,MIR6735,miRNA
ENSG00000201885,AC114737.1,misc_RNA
ENSG00000263381,MIR5584,miRNA
ENSG00000201826,RNU6-867P,snRNA
ENSG00000202336,RNU6-359P,snRNA
ENSG00000212402,SNORA74B,snoRNA
ENSG00000207729,MIR556,miRNA
ENSG00000200839,RNA5SP48,rRNA_pseudogene
ENSG00000276891,RN7SL238P,misc_RNA
ENSG00000212158,SNORD66,snoRNA
ENSG00000273730,AL592188.1,rRNA
ENSG00000283598,MIR1295B,miRNA
ENSG00000238500,RNU7-87P,snRNA
ENSG00000276522,RN7SL462P,misc_RNA
ENSG00000265201,MIR4677,miRNA
ENSG00000199977,AC103987.1,snoRNA
ENSG00000252462,RNU6-113P,snRNA
ENSG00000221273,MIR1237,miRNA
ENSG00000199474,AC092324.1,snoRNA
ENSG00000252692,AC244035.3,snoRNA
ENSG00000284435,MIR4691,miRNA
ENSG00000201959,AC007000.1,misc_RNA
ENSG00000274199,AL109925.1,misc_RNA
ENSG00000222207,RNA5SP407,rRNA_pseudogene
ENSG00000242707,RN7SL362P,misc_RNA
ENSG00000284020,MIR4697,miRNA
ENSG00000222455,RNA5SP296,rRNA_pseudogene
ENSG00000283803,MIR3198-2,miRNA
ENSG00000275745,AC010542.5,misc_RNA
ENSG00000252512,RNA5SP206,rRNA_pseudogene
ENSG00000272197,RN7SL803P,misc_RNA
ENSG00000284388,MIR4496,miRNA
ENSG00000207276,RNU6-1160P,snRNA
ENSG00000207150,RNU6-185P,snRNA
ENSG00000287648,AL034351.6,lncRNA
ENSG00000283815,MIR18A,miRNA
ENSG00000275631,AC124864.1,snRNA
ENSG00000222852,AC022413.1,misc_RNA
ENSG00000252326,SNORD116-25,snoRNA
ENSG00000238804,AC091133.2,snoRNA
ENSG00000283888,MIR1469,miRNA
ENSG00000252481,SCARNA13,scaRNA
ENSG00000201596,AL133383.1,misc_RNA
ENSG00000207449,RNU6-19P,snRNA
ENSG00000266124,MIR5587,miRNA
ENSG00000207142,AC079601.1,misc_RNA
ENSG00000223280,RNU6-57P,snRNA
ENSG00000200620,AC112497.1,snoRNA
ENSG00000251877,RNU2-45P,snRNA
ENSG00000272380,MIR3976,miRNA
ENSG00000274915,AL096828.4,misc_RNA
ENSG00000240183,RN7SL297P,misc_RNA
ENSG00000206824,AC004707.1,misc_RNA
ENSG00000207580,MIR526B,miRNA
ENSG00000263971,CR788250.4,snRNA
ENSG00000275266,AC051649.3,misc_RNA
ENSG00000200822,AC010980.1,misc_RNA
ENSG00000265420,MIR4779,miRNA
ENSG00000212171,RNA5SP86,rRNA_pseudogene
ENSG00000277968,AC091825.2,misc_RNA
ENSG00000277842,MIR6811,miRNA
ENSG00000275043,SNORD25,snoRNA
ENSG00000200983,SNORA3A,snoRNA
ENSG00000266071,MIR3617,miRNA
ENSG00000207033,RNU6-154P,snRNA
ENSG00000284193,MIR1257,miRNA
ENSG00000200469,RNU6-112P,snRNA
ENSG00000207932,MIR33A,miRNA
ENSG00000278704,BX004987.1,protein_coding
ENSG00000273525,SNORA54,snoRNA
ENSG00000264160,MIR4762,miRNA
ENSG00000252398,AC094019.3,misc_RNA
ENSG00000251856,MIR449C,miRNA
ENSG00000283717,MIR6831,miRNA
ENSG00000274994,MIR8056,miRNA
ENSG00000283237,MIR550B1,miRNA
ENSG00000275746,KLF13,protein_coding
ENSG00000266525,MIR4650-1,miRNA
ENSG00000207826,MIR596,miRNA
ENSG00000207595,MIR181A2,miRNA
ENSG00000266827,MIR3689E,miRNA
ENSG00000223064,RNU6-325P,snRNA
ENSG00000201524,RNU6-450P,snRNA
ENSG00000221348,MIR548F5,miRNA
ENSG00000278782,AC136616.3,protein_coding
ENSG00000221527,RNU6ATAC41P,snRNA
ENSG00000207957,MIR105-1,miRNA
ENSG00000199638,RNA5SP319,rRNA_pseudogene
ENSG00000200106,RNU6-984P,snRNA
ENSG00000239942,RN7SL394P,misc_RNA
ENSG00000278708,AC004080.16,misc_RNA
ENSG00000272020,RNU1-30P,snRNA
ENSG00000240723,RN7SL382P,misc_RNA
ENSG00000273979,AL035450.1,misc_RNA
ENSG00000241939,RN7SL517P,misc_RNA
ENSG00000202329,RNU6-609P,snRNA
ENSG00000202251,AC003688.1,misc_RNA
ENSG00000251813,RNU6-983P,snRNA
ENSG00000201010,RN7SKP224,misc_RNA
ENSG00000213167,AC074021.1,misc_RNA
ENSG00000276932,AC011841.2,misc_RNA
ENSG00000199424,Z97632.1,misc_RNA
ENSG00000199266,SNORA60,snoRNA
ENSG00000240205,RN7SL865P,misc_RNA
ENSG00000207144,RNU6-1297P,snRNA
ENSG00000251960,RNU6-559P,snRNA
ENSG00000277733,MBOAT7,protein_coding
ENSG00000273974,AC004386.3,misc_RNA
ENSG00000199867,AC100843.1,misc_RNA
ENSG00000278363,AC012314.18,protein_coding
ENSG00000238987,RNU7-133P,snRNA
ENSG00000212532,AL365219.1,snoRNA
ENSG00000202016,RNU6-619P,snRNA
ENSG00000201297,AC079835.1,misc_RNA
ENSG00000252505,AC013603.1,snoRNA
ENSG00000199313,RNU4-82P,snRNA
ENSG00000274980,RNU6-1025P,snRNA
ENSG00000273624,AC136352.1,snRNA
ENSG00000265033,RN7SL262P,misc_RNA
ENSG00000222440,RNU2-26P,snRNA
ENSG00000251869,SCARNA23,scaRNA
ENSG00000199529,RNU6-462P,snRNA
ENSG00000277205,AC237044.1,snoRNA
ENSG00000276871,AC137488.1,rRNA
ENSG00000277001,AC123595.2,misc_RNA
ENSG00000221375,RNU6ATAC23P,snRNA
ENSG00000201210,RNA5SP139,rRNA_pseudogene
ENSG00000201318,SNORD114-30,snoRNA
ENSG00000200553,AC097173.1,misc_RNA
ENSG00000253064,RNU6-711P,snRNA
ENSG00000200406,SNORD114-23,snoRNA
ENSG00000252347,RNU6-1046P,snRNA
ENSG00000286094,AC026740.3,protein_coding
ENSG00000202471,RNU4-20P,snRNA
ENSG00000263616,RN7SL178P,misc_RNA
ENSG00000274742,AL391827.2,misc_RNA
ENSG00000252860,RNU6-570P,snRNA
ENSG00000263969,RN7SL678P,misc_RNA
ENSG00000206889,RNU6-1200P,snRNA
ENSG00000200834,AL139113.1,misc_RNA
ENSG00000264346,SNORA77B,snoRNA
ENSG00000200685,AC013828.1,misc_RNA
ENSG00000277483,RN7SL321P,misc_RNA
ENSG00000207612,MIR604,miRNA
ENSG00000200488,RN7SKP203,misc_RNA
ENSG00000278281,MIR7856,miRNA
ENSG00000274056,MIR6507,miRNA
ENSG00000278529,MIR8070,miRNA
ENSG00000201097,RNU6-366P,snRNA
ENSG00000200882,RNU6-681P,snRNA
ENSG00000265719,MIR4681,miRNA
ENSG00000207562,MIR34C,miRNA
ENSG00000252302,RNA5SP147,rRNA_pseudogene
ENSG00000276102,MIR6747,miRNA
ENSG00000202254,AL451051.1,misc_RNA
ENSG00000284536,MIR17,miRNA
ENSG00000266570,MIR5579,miRNA
ENSG00000201242,RNY1P1,misc_RNA
ENSG00000222761,RNU6-684P,snRNA
ENSG00000264906,MIR4494,miRNA
ENSG00000264712,MIR4504,miRNA
ENSG00000266655,MIR3908,miRNA
ENSG00000252835,SCARNA21,scaRNA
ENSG00000266545,MIR5701-1,miRNA
ENSG00000283785,MIR15A,miRNA
ENSG00000283636,AC074367.2,misc_RNA
ENSG00000263964,MIR4509-3,miRNA
ENSG00000284269,MIR7855,miRNA
ENSG00000207703,MIR7-2,miRNA
ENSG00000276017,AC007325.1,protein_coding
ENSG00000242398,RN7SL800P,misc_RNA
ENSG00000207761,MIR329-1,miRNA
ENSG00000207561,MIR635,miRNA
ENSG00000207959,MIR656,miRNA
ENSG00000212533,AC008013.1,snoRNA
ENSG00000265561,MIR1268B,miRNA
ENSG00000265957,MIR4319,miRNA
ENSG00000199143,MIR373,miRNA
ENSG00000239075,RNU6-274P,snRNA
ENSG00000266721,MIR5695,miRNA
ENSG00000275519,MIR6804,miRNA
ENSG00000207616,MIR515-1,miRNA
ENSG00000221574,RNU6ATAC33P,snRNA
ENSG00000265321,MIR4263,miRNA
ENSG00000207594,MIR520A,miRNA
ENSG00000275523,MIR6508,miRNA
ENSG00000200742,AL138499.1,misc_RNA
ENSG00000265429,MIR4782,miRNA
ENSG00000283958,MIR1248,miRNA
ENSG00000207225,RNU6-692P,snRNA
ENSG00000207716,MIR572,miRNA
ENSG00000275141,MIR6888,miRNA
ENSG00000283275,MIR4275,miRNA
ENSG00000252624,RNA5SP409,rRNA_pseudogene
ENSG00000207863,MIR125B2,miRNA
ENSG00000266698,MIR3945,miRNA
ENSG00000212345,RNU6-700P,snRNA
ENSG00000264732,MIR4638,miRNA
ENSG00000263967,MIR4290,miRNA
ENSG00000284135,MIR3654,miRNA
ENSG00000274115,MIR6081,miRNA
ENSG00000201296,RNU4-41P,snRNA
ENSG00000265520,MIR548V,miRNA
ENSG00000207867,MIR514A3,miRNA
ENSG00000283522,MIR3150A,miRNA
ENSG00000264640,BX927235.3,snRNA
ENSG00000276575,MIR6895,miRNA
ENSG00000202485,RNU6-499P,snRNA
ENSG00000208012,MIRLET7F2,miRNA
ENSG00000252408,AC005787.1,snoRNA
ENSG00000222705,RN7SKP39,misc_RNA
ENSG00000284538,MIR92A2,miRNA
ENSG00000223168,RN7SKP142,misc_RNA
ENSG00000212443,SNORA53,snoRNA
ENSG00000207501,RNVU1-14,snRNA
ENSG00000238813,AC010127.1,misc_RNA
ENSG00000269103,AL031685.2,misc_RNA
ENSG00000201317,RNU4-59P,snRNA
ENSG00000251913,RNU6-513P,snRNA
ENSG00000252072,RNA5SP320,rRNA_pseudogene
ENSG00000252287,RNA5SP24,rRNA_pseudogene
ENSG00000212304,SNORD12,snoRNA
ENSG00000275917,CHRFAM7A,protein_coding
ENSG00000201640,RN7SKP28,misc_RNA
ENSG00000253077,RNA5SP169,rRNA_pseudogene
ENSG00000274097,RNA5SP535,rRNA
ENSG00000200184,RNU1-20P,snRNA
ENSG00000222488,RNU6-285P,snRNA
ENSG00000238610,RNU7-26P,snRNA
ENSG00000281910,SNORA50A,snoRNA
ENSG00000278794,AC015884.3,misc_RNA
ENSG00000202241,RN7SKP186,misc_RNA
ENSG00000200448,AL049757.1,misc_RNA
ENSG00000241461,RN7SL182P,misc_RNA
ENSG00000206713,AC111186.1,misc_RNA
ENSG00000206802,RNU6-926P,snRNA
ENSG00000206908,RNU1-136P,snRNA
ENSG00000199217,RNU6-1123P,snRNA
ENSG00000244501,RN7SL623P,misc_RNA
ENSG00000251712,RNU7-20P,snRNA
ENSG00000206998,AL031681.1,misc_RNA
ENSG00000249784,SCARNA22,scaRNA
ENSG00000207247,AL365223.1,misc_RNA
ENSG00000238777,RNU7-141P,snRNA
ENSG00000252437,RNA5SP459,rRNA_pseudogene
ENSG00000212211,AC096917.1,snoRNA
ENSG00000206815,RNU6-483P,snRNA
ENSG00000277464,RN7SL286P,misc_RNA
ENSG00000201674,AC236668.1,snoRNA
ENSG00000238431,RNU7-157P,snRNA
ENSG00000212342,AC103725.1,snoRNA
ENSG00000202314,SNORD6,snoRNA
ENSG00000201675,SNORD32A,snoRNA
ENSG00000241943,RN7SL188P,misc_RNA
ENSG00000201071,AC100840.1,misc_RNA
ENSG00000201812,RNA5SP488,rRNA_pseudogene
ENSG00000201830,AL499604.1,misc_RNA
ENSG00000206785,SNORA15B-2,snoRNA
ENSG00000264071,RN7SL531P,misc_RNA
ENSG00000252269,RNU4ATAC12P,snRNA
ENSG00000274197,AP003041.3,snRNA
ENSG00000264353,CR753842.2,misc_RNA
ENSG00000206888,RNU6-48P,snRNA
ENSG00000222604,AC007956.1,snoRNA
ENSG00000265116,SNORD117,snoRNA
ENSG00000239553,RN7SL12P,misc_RNA
ENSG00000278099,RNVU1-2A,snRNA
ENSG00000212448,AC008128.1,misc_RNA
ENSG00000252852,AP002848.1,snoRNA
ENSG00000252033,RNU6-311P,snRNA
ENSG00000199473,AC019117.1,snoRNA
ENSG00000200052,AC140119.1,misc_RNA
ENSG00000207303,AC098820.1,misc_RNA
ENSG00000207261,RNU6-738P,snRNA
ENSG00000206745,RNU6-643P,snRNA
ENSG00000252994,RNU6-1231P,snRNA
ENSG00000283249,AC084854.1,snRNA
ENSG00000199878,RN7SKP149,misc_RNA
ENSG00000201746,RNU6-828P,snRNA
ENSG00000277923,MBOAT7,protein_coding
ENSG00000207052,RNU6-378P,snRNA
ENSG00000278003,AC243913.1,misc_RNA
ENSG00000251739,RNU6-1053P,snRNA
ENSG00000241487,RN7SL586P,misc_RNA
ENSG00000252682,AL354980.1,snoRNA
ENSG00000222259,RN7SKP114,misc_RNA
ENSG00000199633,AC090260.1,snoRNA
ENSG00000212340,RNU6-739P,snRNA
ENSG00000222489,SNORA79B,snoRNA
ENSG00000199203,AC097525.1,misc_RNA
ENSG00000200632,SNORD113-7,snoRNA
ENSG00000223175,RNU4-61P,snRNA
ENSG00000275930,AC211486.8,misc_RNA
ENSG00000199551,RNU6-545P,snRNA
ENSG00000207110,RNU1-106P,snRNA
ENSG00000222561,RNU6-1025P,snRNA
ENSG00000253098,RNU7-161P,snRNA
ENSG00000264371,MIR4425,miRNA
ENSG00000277467,RN7SL628P,misc_RNA
ENSG00000264086,SNORD48,snoRNA
ENSG00000242079,RN7SL318P,misc_RNA
ENSG00000266676,MIR4297,miRNA
ENSG00000222924,RNU6-1148P,snRNA
ENSG00000212525,RNA5SP212,rRNA_pseudogene
